#date;pid;id;http method;host;URL;HTTP status;size;duration;transaction;match;error;tag
1399541637.753041;<0.1162.0>;525;get;staging-lpa.service.dsd.io;/create/lpa-type;502;10079;24.890;-;match_stop;;
1399541637.764942;<0.2019.0>;951;get;staging-lpa.service.dsd.io;/;502;10079;162.829;-;match_stop;;
1399541637.798247;<0.1994.0>;940;get;staging-lpa.service.dsd.io;/;502;10079;156.118;-;match_stop;;
1399541637.839363;<0.2022.0>;952;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;151.213;-;match_stop;;
1399541637.918298;<0.1225.0>;556;post;staging-lpa.service.dsd.io;/create/lpa-type;502;10079;24.098;-;match_stop;;
1399541637.944459;<0.1882.0>;886;get;staging-lpa.service.dsd.io;/user/register;502;10079;25.310;-;match_stop;;
1399541637.994172;<0.1562.0>;727;get;staging-lpa.service.dsd.io;/user/login;502;10079;32.012;-;match_stop;;
1399541638.088959;<0.1434.0>;666;get;staging-lpa.service.dsd.io;/user/about-you;502;10079;27.851;-;match_stop;;
1399541638.785866;<0.896.0>;396;post;staging-lpa.service.dsd.io;/create/add-donor;502;10079;24.728;-;match_stop;;
1399541639.225614;<0.1864.0>;876;get;staging-lpa.service.dsd.io;/user/register;502;10079;24.477;-;match_stop;;
1399541643.131962;<0.1878.0>;884;get;staging-lpa.service.dsd.io;/user/register;502;10079;24.793;-;match_stop;;
1399541643.27487;<0.291.0>;99;get;staging-lpa.service.dsd.io;/address/lookup?addressid=23911113;502;10079;25.707;-;match_stop;;
1399541643.276128;<0.2034.0>;960;get;staging-lpa.service.dsd.io;/;502;10079;156.009;-;match_stop;;
1399541643.815754;<0.898.0>;397;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;22.584;-;match_stop;;
1399541643.875017;<0.1953.0>;920;get;staging-lpa.service.dsd.io;/user/register;502;10079;23.911;-;match_stop;;
1399541643.928024;<0.2059.0>;971;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;154.876;-;match_stop;;
1399541643.978103;<0.1789.0>;840;post;staging-lpa.service.dsd.io;/user/register;502;10079;24.820;-;match_stop;;
1399541646.662934;<0.2064.0>;974;get;staging-lpa.service.dsd.io;/;502;10079;151.803;-;match_stop;;
1399541646.82383;<0.1973.0>;930;get;staging-lpa.service.dsd.io;/user/register;502;10079;24.689;-;match_stop;;
1399541646.886122;<0.1147.0>;516;get;staging-lpa.service.dsd.io;/create/lpa-type;502;10079;25.014;-;match_stop;;
1399541646.899707;<0.1185.0>;538;get;staging-lpa.service.dsd.io;/create/add-donor;502;10079;24.607;-;match_stop;;
1399541646.933316;<0.1552.0>;721;post;staging-lpa.service.dsd.io;/user/login;502;10079;26.170;-;match_stop;;
1399541646.961071;<0.1379.0>;633;post;staging-lpa.service.dsd.io;/user/login;502;10079;24.942;-;match_stop;;
1399541647.064684;<0.398.0>;151;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;24.557;-;match_stop;;
