elapsed_time,num_reqs,num_reqs_per_sec,min_req_time,max_req_time,avg_req_time,200,302
490,556,55.6,38.083,939.389,134.1062,206,350
500,584,58.4,39.488,344.602,115.4899,217,367
510,534,53.4,38.47,659.806,114.1948,195,339
520,544,54.4,37.259,378.693,110.6283,212,332
530,560,56.0,37.35,371.974,116.8146,216,344
540,545,54.5,37.398,373.253,108.8739,207,338
550,560,56.0,34.981,373.186,112.6253,198,362
560,608,60.8,41.523,625.31,131.2165,211,397
570,602,60.2,41.818,501.118,131.0327,222,380
580,565,56.5,36.087,286.093,107.2046,213,352
590,551,55.1,35.005,378.63,110.4749,216,335
600,538,53.8,36.519,416.664,106.9252,198,340
610,536,53.6,38.736,335.412,115.6415,210,326
620,558,55.8,36.297,343.161,110.0267,209,349
630,540,54.0,42.509,424.191,122.5061,182,358
640,538,53.8,37.954,323.39,106.0553,191,347
650,523,52.3,39.905,414.772,116.19,202,321
660,526,52.6,40.09,481.005,116.0669,203,323
670,569,56.9,42.467,480.533,117.0909,212,357
680,520,52.0,40.478,1502.958,204.2011,217,303
690,595,59.5,45.74,1314.729,153.1549,211,384
700,599,59.9,49.286,666.742,126.2333,217,382
710,559,55.9,42.212,371.498,117.2045,195,364
720,524,52.4,40.816,312.335,107.8073,199,325
730,521,52.1,35.617,347.294,115.8501,182,339
740,512,51.2,42.966,410.388,110.744,192,320
750,519,51.9,37.614,369.367,115.0552,207,312
760,542,54.2,35.127,332.862,108.1297,228,314
770,573,57.3,34.267,1218.419,118.9264,212,361
780,522,52.2,36.199,1708.048,222.3912,203,319
790,549,54.9,44.98,505.04,118.9635,182,367
800,588,58.8,35.316,347.298,116.3084,215,373
810,522,52.2,38.33,359.31,113.5079,187,335
820,548,54.8,39.695,344.786,110.262,196,352
830,553,55.3,39.829,391.017,111.9605,196,357
840,536,53.6,42.711,335.291,111.9686,207,329
850,468,46.8,37.79,442.795,111.7104,192,276
860,524,52.4,38.632,326.055,103.4093,197,327
870,522,52.2,33.79,326.479,105.2942,219,303
880,506,50.6,34.479,354.345,104.2304,188,318
890,517,51.7,38.671,318.642,105.5343,189,328
900,534,53.4,37.811,374.587,108.5812,200,334
910,579,57.9,44.163,391.275,123.7385,216,363
920,537,53.7,37.664,359.969,109.9269,193,344
930,580,58.0,37.551,350.587,114.5216,234,346
940,532,53.2,37.969,314.705,105.215,196,336
950,542,54.2,37.291,585.85,116.0568,200,342
960,515,51.5,41.021,292.618,102.2409,162,353
970,512,51.2,39.357,397.071,111.3678,198,314
980,529,52.9,34.731,335.708,104.2713,179,350
990,543,54.3,35.198,313.117,106.1342,201,342
1000,564,56.4,35.329,428.577,115.4891,228,336
1010,510,51.0,36.934,320.091,113.5516,199,311
1020,539,53.9,36.866,369.028,117.412,204,335
1030,493,49.3,35.21,414.167,106.2838,180,313
1040,502,50.2,36.059,411.766,113.1142,205,297
1050,549,54.9,36.61,456.794,117.6758,200,349
1060,540,54.0,42.284,349.589,113.1976,213,327
1070,558,55.8,38.426,402.57,118.521,217,341
1080,521,52.1,36.047,338.297,110.5545,214,307
1090,554,55.4,36.98,586.47,123.6262,208,346
1100,571,57.1,39.065,766.617,131.8316,199,372
1110,577,57.7,39.332,381.653,108.687,198,379
1120,590,59.0,38.369,450.377,118.3732,229,361
1130,548,54.8,35.168,336.829,108.2169,206,342
1140,315,31.5,35.838,336.147,111.7685,128,187
1150,581,58.1,36.473,5301.045,1268.4358,236,345
1160,572,57.2,37.721,471.251,123.2191,197,375
1170,570,57.0,36.832,434.022,116.6781,215,355
1180,537,53.7,35.847,423.313,108.0969,194,343
1190,543,54.3,35.068,364.488,114.577,220,323
1200,563,56.3,38.49,407.411,114.6657,223,340
1210,532,53.2,35.597,378.474,109.0551,197,335
1220,589,58.9,36.223,354.048,117.8068,212,377
1230,533,53.3,39.267,364.293,116.7361,242,291
1240,624,62.4,37.198,444.038,121.7998,223,401
1250,563,56.3,41.561,378.076,114.7546,202,361
1260,590,59.0,36.797,332.889,120.8847,222,368
1270,595,59.5,36.134,376.405,123.4239,221,374
1280,585,58.5,39.872,640.062,130.4018,221,364
1290,578,57.8,36.954,438.226,132.0077,200,378
1300,564,56.4,37.759,499.427,119.705,195,369
1310,571,57.1,37.133,1190.156,117.6514,231,340
1320,561,56.1,35.164,407.422,112.2028,223,338
1330,575,57.5,38.259,409.461,120.5229,214,361
1340,588,58.8,35.513,1529.368,225.0245,243,345
1350,380,38.0,44.346,481.076,125.3707,127,253
